Moketojo_ID	Moketojo_kodas	Moketojo_pavadinimas	Suma	Valiuta
-----------	--------------	--------------------	----	-------
7	0	V.M.	13.50	LTL
16	0	J.V.	8.91	LTL
17	0	J.T.	131.09	LTL
27	0	V.D.	114.24	LTL
28	0	R.M.	139.53	LTL
29	0	S.S.	158.73	LTL
30	0	S.N.	246.95	LTL
32	0	A.B.	2949.97	LTL
34	0	M.V.	97.48	LTL
36	0	V.D.	186.63	LTL
37	0	A.D.	213.13	LTL
39	0	G.R.	51.84	LTL
40	0	N.Z.	372.31	LTL
41	0	D.C.	71.28	LTL
45	0	H.S.	244.80	LTL
52	0	J.G.	11.32	LTL
56	0	G.J.	245.15	LTL
58	0	M.B.	103.48	LTL
67	0	J.S.L.	171.36	LTL
68	0	B.K.	1386.71	LTL
75	1000075	Akcinės bendrovės "Lietuvos dujos" Vilniaus filialas	39047.92	LTL
76	1000076	Akcinė bendrovė "VILNIAUS ŠILUMOS TINKLAI"	3140536.33	LTL
77	0	I.B.	289.97	LTL
81	0	M.K.	138.62	LTL
85	0	A.P.	1.77	LTL
86	0	S.J.	227.88	LTL
88	0	A.B.	172.96	LTL
90	0	V.S.	255.78	LTL
94	0	D.J.	1146.18	LTL
103	0	G.F.	198.83	LTL
106	0	G.K.	37.98	LTL
111	0	L.G.	265.86	LTL
116	0	V.M.	94.95	LTL
117	0	J.Ž.	330.99	LTL
118	0	A.J.P.	217.44	LTL
121	0	Č.V.	225.41	LTL
125	0	Z.R.	139.90	LTL
126	0	S.M.	220.80	LTL
127	0	A.R.	632.64	LTL
128	0	I.P.	382.54	LTL
130	0	N.P.	646.53	LTL
131	0	V.P.	132.93	LTL
133	0	L.L.	597.02	LTL
134	0	V.L.	179.11	LTL
135	0	P.L.	179.11	LTL
137	0	M.B.	114.07	LTL
138	0	V.S.	45.00	LTL
139	0	D.S.	598.32	LTL
140	0	J.M.	609.35	LTL
141	0	J.B.	1146.22	LTL
142	0	V.D.	262.40	LTL
145	0	N.T.	49.00	LTL
146	0	E.Č.	50.00	LTL
147	0	M.V.	46.88	LTL
149	0	S.T.	124.63	LTL
150	0	V.M.	186.77	LTL
152	0	V.M.	378.17	LTL
153	0	B.B.	446.40	LTL
154	0	R.C.	296.14	LTL
158	0	T.T.	1000.00	LTL
159	0	G.D.	551.35	LTL
160	0	J.M.	171.30	LTL
161	0	J.M.	86.04	LTL
162	0	J.V.	177.93	LTL
164	0	J.M.	72.17	LTL
165	0	M.M.	144.14	LTL
166	0	D.C.	72.17	LTL
171	0	G.P.	1140.90	LTL
172	0	V.P.	79.60	LTL
173	0	V.P.	238.74	LTL
174	0	H.K.	287.15	LTL
179	0	O.L.	670.09	LTL
180	0	V.M.	367.52	LTL
182	0	P.M.	358.20	LTL
184	0	E.Š.	366.51	LTL
188	0	S.K.	600.00	LTL
191	0	A.S.	958.30	LTL
196	0	M.Ž.	34.76	LTL
197	0	I.S.	318.02	LTL
200	1000200	Uždaroji akcinė bendrovė "TRANSTIRA"	41688.41	LTL
201	1000201	Akcinė bendrovė "GRIGIŠKĖS"	344746.92	LTL
202	1000202	UAB "BALTWOOD"	85399.39	LTL
204	1000204	Uždaroji akcinė bendrovė "ROMGINTA"	1841.00	EUR
205	0	I.I.	441.73	LTL
211	0	L.Č.	531.17	LTL
213	0	F.T.	349.44	LTL
217	0	T.B.	13.82	LTL
219	0	M.Š.	8.30	LTL
222	0	A.Š.	8.33	LTL
226	0	V.B.	70.20	LTL
233	0	G.B.	5.67	LTL
242	0	G.U.	14.85	LTL
249	0	O.I.	6.21	LTL
257	0	S.L.	902.79	LTL
259	0	K.Š.	17.22	LTL
260	0	H.L.	83.60	LTL
261	0	B.V.	50.22	LTL
262	0	V.K.	229.15	LTL
265	0	M.V.	59.66	LTL
271	0	B.S.	30.90	LTL
274	0	J.K.	.04	LTL
289	0	J.J.	244.74	LTL
291	0	F.I.	12.16	LTL
303	0	I.I.	13.24	LTL
304	0	J.S.	114.32	LTL
306	0	V.B.	102.81	LTL
324	0	K.V.	49.61	LTL
325	0	Č.S.	152.64	LTL
326	0	S.J.	72.46	LTL
327	0	J.J.	49.02	LTL
328	0	J.J.	315.85	LTL
331	0	D.D.	285.20	LTL
332	0	K.M.	1.00	LTL
335	0	L.V.	2.27	EUR
340	0	D.B.R.	344.93	LTL
342	0	G.L.	343.60	LTL
346	0	P.A.B.	249.25	LTL
350	0	A.J.	12.25	LTL
353	0	M.Š.	421.90	LTL
354	0	P.G.	421.95	LTL
357	0	Z.M.	458.51	LTL
359	0	V.V.	270.00	LTL
360	0	Z.N.B.	256.18	LTL
372	0	V.V.	342.07	LTL
374	0	O.G.	281.30	LTL
377	0	R.L.	337.52	LTL
378	0	V.A.	422.27	LTL
379	0	L.S.	51.13	LTL
380	0	D.J.	171.80	LTL
382	0	V.L.	365.26	LTL
383	0	V.N.	326.24	LTL
384	0	E.A.K.	75.18	EUR
384	0	E.A.K.	169.50	LTL
385	0	O.B.	140.00	LTL
386	0	B.D.	510.90	LTL
391	0	O.J.	275.59	LTL
394	0	V.S.	481.17	LTL
395	0	F.J.	955.54	LTL
397	0	Z.S.	207.91	LTL
400	0	R.Š.	269.96	LTL
401	0	V.A.	544.55	LTL
402	0	V.P.	396.13	LTL
403	0	D.K.	307.41	LTL
405	0	I.P.	7.66	LTL
408	0	J.R.	7.66	LTL
410	0	R.B.	251.58	LTL
411	0	R.G.	135.16	LTL
413	0	R.M.	292.55	LTL
414	0	O.Š.	67.49	LTL
416	0	I.Z.	422.12	LTL
418	0	L.B.	337.45	LTL
439	0	D.Š.	183.55	LTL
444	0	P.J.	783.40	LTL
452	0	V.B.	286.18	LTL
458	0	V.K.	73.95	LTL
466	0	P.A.	130.95	LTL
469	0	A.Z.	422.63	LTL
474	0	V.Š.	96.10	LTL
479	0	M.K.	22.94	LTL
480	0	M.N.	128.61	LTL
483	0	A.R.	337.92	LTL
485	0	J.P.	113.51	LTL
487	0	S.I.	84.38	LTL
496	0	J.M.	63.10	LTL
500	0	M.M.	338.96	LTL
501	0	V.J.	337.52	LTL
504	0	P.P.	280.36	LTL
515	0	D.B.-.K.	6.00	LTL
518	0	A.V.	269.21	LTL
520	0	F.K.	325.83	LTL
522	0	M.R.	383.85	LTL
526	0	V.D.	135.44	LTL
537	0	A.S.	6.79	LTL
540	0	S.R.	28.77	EUR
540	0	S.R.	226.02	LTL
553	0	V.V.R.	7.95	LTL
558	0	V.U.	7.80	LTL
565	0	V.K.	39.10	LTL
574	0	V.L.	97.97	LTL
584	0	Z.A.	8.10	LTL
589	0	V.Z.	10.80	LTL
602	0	E.M.	54.03	LTL
603	0	I.K.	166.34	LTL
609	0	A.N.	625.86	LTL
613	0	R.B.	207.59	LTL
627	0	S.J.J.	13.82	LTL
629	0	L.P.	72.73	LTL
633	0	V.K.	155.52	LTL
635	0	V.P.	193.68	LTL
641	0	V.J.	142.00	LTL
643	0	Č.S.	259.21	LTL
645	0	Č.D.	172.80	LTL
655	0	L.K.	244.76	LTL
660	0	J.B.	645.10	LTL
664	0	J.S.	200.45	LTL
672	0	K.M.	107.06	LTL
687	0	V.M.	89.86	LTL
694	0	D.M.	414.72	LTL
696	0	L.Z.	172.80	LTL
700	0	Z.T.	170.85	LTL
710	0	O.N.	103.68	LTL
713	0	A.N.	130.83	LTL
